
2285468,3148,Wizards_76ers,1167,46.0,8.0,1452.0,2015-02-16 13:01:12.303000

2285467,3148,Bucks_76ers,1343,35.0,7.0,1346.0,2015-02-16 13:01:12.303000

2285560,3148,Heat_76ers,1045,64.0,10.0,7370.0,2015-02-16 13:01:12.303000

2285988,91,Warriors_Raptors,484,253.27,83,5569,2015-02-16 13:01:12.438000

2285092,91,Cavaliers_Raptors,873,210.0,72.0,5569.0,2015-02-16 13:01:12.439000

2285557,91,Heat_Raptors,454,161.0,68.0,2044.0,2015-02-16 13:01:12.439000

2285790,91,Trail Blazers_Raptors,698,143.0,43.0,5569.0,2015-02-16 13:01:12.439000

2285139,91,Timberwolves_Raptors,1054,118.0,36.0,2157.0,2015-02-16 13:01:12.440000

2285682,91,Knicks_Raptors,751,251.66,58,2667,2015-02-16 13:01:12.440000

2285227,91,Bulls_Raptors,937,162.5,64.0,2157.0,2015-02-16 13:01:12.440000

2284795,91,Lakers_Raptors,673,152.0,46.0,697.0,2015-02-16 13:01:12.440000

2285032,91,Rockets_Raptors,794,126.0,39.0,1924.0,2015-02-16 13:01:12.440000

2285597,91,Celtics_Raptors,896,156.5,60.0,1340.0,2015-02-16 13:01:12.440000

2285734,91,Hornets_Raptors,922,116.0,32.0,1805.0,2015-02-16 13:01:12.441000

2285384,117,Rockets_Mavericks,606,148.0,65.0,6321.0,2015-02-16 13:01:12.561000

2285709,117,Hornets_Mavericks,660,84.0,18.0,6182.0,2015-02-16 13:01:12.561000

2285389,117,Raptors_Mavericks,1410,55.0,7.0,5557.0,2015-02-16 13:01:12.561000

2285385,117,Nets_Mavericks,1338,128.0,28.0,5569.0,2015-02-16 13:01:12.562000

2285412,117,Pelicans_Mavericks,1796,51.0,10.0,5557.0,2015-02-16 13:01:12.562000

2285423,117,Cavaliers_Mavericks,2467,133.0,63.0,10873.0,2015-02-16 13:01:12.562000

2285417,117,Clippers_Mavericks,1708,106.0,37.0,5569.0,2015-02-16 13:01:12.562000

2285427,117,Thunder_Mavericks,1600,93.0,27.0,6182.0,2015-02-16 13:01:12.562000

2285381,117,Magic_Mavericks,1792,49.0,9.0,5557.0,2015-02-16 13:01:12.563000

2285396,117,Grizzlies_Mavericks,1519,92.0,27.0,6294.0,2015-02-16 13:01:12.563000

2285410,117,Spurs_Mavericks,1402,160.0,41.0,5557.0,2015-02-16 13:01:12.563000

2285400,117,Rockets_Mavericks,1958,102.0,31.0,6321.0,2015-02-16 13:01:12.563000

2285995,117,Warriors_Mavericks,1581,121.5,41.0,5557.0,2015-02-16 13:01:12.563000

2285392,117,Suns_Mavericks,2113,61.0,11.0,5569.0,2015-02-16 13:01:12.563000

2285833,117,Trail Blazers_Mavericks,2129,76.0,18.0,6189.0,2015-02-16 13:01:12.564000

2285036,129,Raptors_Rockets,366,148.0,67.0,612.0,2015-02-16 13:01:12.677000

2285128,129,Timberwolves_Rockets,809,74.0,17.0,1023.0,2015-02-16 13:01:12.678000

2285043,129,Clippers_Rockets,904,133.0,33.0,1023.0,2015-02-16 13:01:12.678000

2285034,129,Nets_Rockets,760,124.0,35.0,1023.0,2015-02-16 13:01:12.678000

2285105,129,Cavaliers_Rockets,1112,270.0,97.0,4828.0,2015-02-16 13:01:12.678000

2285025,129,Grizzlies_Rockets,1084,101.0,25.0,1166.0,2015-02-16 13:01:12.678000

2285278,129,Pistons_Rockets,1066,111.0,26.0,1166.0,2015-02-16 13:01:12.678000

2285030,129,Magic_Rockets,1056,95.0,20.0,1166.0,2015-02-16 13:01:12.679000

2285187,129,Nuggets_Rockets,1081,95.0,20.0,1166.0,2015-02-16 13:01:12.679000

2285019,129,Suns_Rockets,970,117.5,29.0,1166.0,2015-02-16 13:01:12.679000

2285134,129,Timberwolves_Rockets,973,102.0,25.0,1166.0,2015-02-16 13:01:12.679000

2285877,129,Kings_Rockets,1024,96.0,21.0,1166.0,2015-02-16 13:01:12.679000

2285026,129,Spurs_Rockets,862,189.0,50.0,1219.0,2015-02-16 13:01:12.679000

2285045,129,Pelicans_Rockets,777,117.0,24.0,1252.0,2015-02-16 13:01:12.680000

2285022,129,Jazz_Rockets,1016,109.0,20.0,1166.0,2015-02-16 13:01:12.680000

2284798,1243,Clippers_Grizzlies,625,88.0,39.0,5569.0,2015-02-16 13:01:12.807000

2284962,1243,Jazz_Grizzlies,822,38.0,2.0,5569.0,2015-02-16 13:01:12.807000

2284805,1243,Lakers_Grizzlies,505,91.0,25.0,5569.0,2015-02-16 13:01:12.807000

2284857,1243,Bucks_Grizzlies,715,73.0,17.0,5569.0,2015-02-16 13:01:12.808000

2285205,1243,Nuggets_Grizzlies,781,45.0,5.0,5569.0,2015-02-16 13:01:12.808000

2285822,1243,Trail Blazers_Grizzlies,718,88.0,28.0,5569.0,2015-02-16 13:01:12.808000

2285120,1243,Cavaliers_Grizzlies,683,128.5,56.0,5569.0,2015-02-16 13:01:12.808000

2285952,1243,Warriors_Grizzlies,458,110.0,41.0,5569.0,2015-02-16 13:01:12.808000

2285863,1243,Kings_Grizzlies,1044,49.0,2.0,5569.0,2015-02-16 13:01:12.808000

2284896,1243,Thunder_Grizzlies,748,115.0,40.0,6500.0,2015-02-16 13:01:12.808000

2285339,1243,Wizards_Grizzlies,916,79.0,15.0,5569.0,2015-02-16 13:01:12.809000

2284922,1243,Pelicans_Grizzlies,971,52.0,2.0,5569.0,2015-02-16 13:01:12.809000

2285055,1243,Pacers_Grizzlies,1072,52.0,4.0,5569.0,2015-02-16 13:01:12.809000

2284931,184,Raptors_Pelicans,1174,31.0,4.0,5194.0,2015-02-16 13:01:12.908000

2284935,184,Nets_Pelicans,1265,28.0,6.0,841.0,2015-02-16 13:01:12.908000

2285538,184,Heat_Pelicans,968,71.0,15.0,6299.0,2015-02-16 13:01:12.909000

2285273,184,Pistons_Pelicans,1087,30.0,4.0,5194.0,2015-02-16 13:01:12.909000

2285587,184,Celtics_Pelicans,1388,41.0,9.0,6299.0,2015-02-16 13:01:12.909000

2284938,184,Grizzlies_Pelicans,1110,43.0,7.0,6189.0,2015-02-16 13:01:12.909000

2285171,184,Nuggets_Pelicans,1143,44.0,10.0,6299.0,2015-02-16 13:01:12.909000

2284930,184,Bucks_Pelicans,1165,29.0,5.0,6299.0,2015-02-16 13:01:12.909000

2285042,184,Rockets_Pelicans,1368,51.0,10.0,6189.0,2015-02-16 13:01:12.910000

2285899,184,Kings_Pelicans,1265,45.0,8.0,6299.0,2015-02-16 13:01:12.910000

2285132,184,Timberwolves_Pelicans,1312,50.0,7.0,7241.0,2015-02-16 13:01:12.910000

2285994,184,Warriors_Pelicans,1327,49.0,13.0,5194.0,2015-02-16 13:01:12.910000

2284918,184,Suns_Pelicans,1171,57.0,13.0,6299.0,2015-02-16 13:01:12.910000

2284994,184,Spurs_Pelicans,1398,56.0,10.0,6299.0,2015-02-16 13:01:12.910000

2285906,185,Kings_Spurs,1297,68.0,8.0,716.0,2015-02-16 13:01:13.021000

2285196,185,Nuggets_Spurs,971,104.0,21.0,536.0,2015-02-16 13:01:13.021000

2285235,185,Bulls_Spurs,601,241.0,51.0,1043.0,2015-02-16 13:01:13.021000

